Date,High,Low,Open,Close,Volume,Adj Close
11/23/15,2095.610107421875,2081.389892578125,2089.409912109375,2086.590087890625,3587980000,2086.590087890625
11/24/15,2094.120117,2070.290039,2084.419922,2089.139892578125,3884930000,2089.139892578125
11/25/15,2093,2086.300048828125,2089.300048828125,2088.870117,2852940000,2088.870117
11/26/15,2093,2086.300048828125,2089.300048828125,2088.870117,2852940000,2088.870117
11/27/15,2093.290039,2084.129883,2088.820068359375,2090.110107421875,1466840000,2090.110107421875
11/28/15,2093.290039,2084.129883,2088.820068359375,2090.110107421875,1466840000,2090.110107421875
11/29/15,2093.290039,2084.129883,2088.820068359375,2090.110107421875,1466840000,2090.110107421875
11/30/15,2093.810059,2080.409912109375,2090.949951171875,2080.409912109375,4275030000,2080.409912109375
12/1/15,2103.370117,2082.929931640625,2082.929931640625,2102.629883,3712120000,2102.629883
12/2/15,2104.27002,2077.110107421875,2101.709961,2079.510009765625,3950640000,2079.510009765625
12/3/15,2085,2042.3499755859375,2080.709961,2049.620117,4306490000,2049.620117
12/4/15,2093.840087890625,2051.239990234375,2051.239990234375,2091.689941,4214910000,2091.689941
12/5/15,2093.840087890625,2051.239990234375,2051.239990234375,2091.689941,4214910000,2091.689941
12/6/15,2093.840087890625,2051.239990234375,2051.239990234375,2091.689941,4214910000,2091.689941
12/7/15,2090.419922,2066.780029296875,2090.419922,2077.070068359375,4043820000,2077.070068359375
12/8/15,2073.850098,2052.320068359375,2073.389892578125,2063.590087890625,4173570000,2063.590087890625
12/9/15,2080.330078,2036.530029296875,2061.169922,2047.6199951171875,4385250000,2047.6199951171875
12/10/15,2067.649902,2045.6700439453125,2047.9300537109375,2052.22998,3715150000,2052.22998
12/11/15,2047.27002,2008.800048828125,2047.27002,2012.3699951171875,4301060000,2012.3699951171875
12/12/15,2047.27002,2008.800048828125,2047.27002,2012.3699951171875,4301060000,2012.3699951171875
12/13/15,2047.27002,2008.800048828125,2047.27002,2012.3699951171875,4301060000,2012.3699951171875
12/14/15,2022.9200439453125,1993.260009765625,2013.3699951171875,2021.939941,4612440000,2021.939941
12/15/15,2053.870117,2025.550048828125,2025.550048828125,2043.4100341796875,4353540000,2043.4100341796875
12/16/15,2076.719970703125,2042.4300537109375,2046.5,2073.070068359375,4635450000,2073.070068359375
12/17/15,2076.370117,2041.6600341796875,2073.760009765625,2041.8900146484375,4327390000,2041.8900146484375
12/18/15,2040.810059,2005.3299560546875,2040.810059,2005.550048828125,6683070000,2005.550048828125
12/19/15,2040.810059,2005.3299560546875,2040.810059,2005.550048828125,6683070000,2005.550048828125
12/20/15,2040.810059,2005.3299560546875,2040.810059,2005.550048828125,6683070000,2005.550048828125
12/21/15,2022.9000244140625,2005.9300537109375,2010.27002,2021.1500244140625,3760280000,2021.1500244140625
12/22/15,2042.739990234375,2020.489990234375,2023.1500244140625,2038.969970703125,3520860000,2038.969970703125
12/23/15,2064.72998,2042.199951171875,2042.199951171875,2064.290039,3484090000,2064.290039
12/24/15,2067.360107421875,2058.72998,2063.52002,2060.989990234375,1411860000,2060.989990234375
12/25/15,2067.360107421875,2058.72998,2063.52002,2060.989990234375,1411860000,2060.989990234375
12/26/15,2067.360107421875,2058.72998,2063.52002,2060.989990234375,1411860000,2060.989990234375
12/27/15,2067.360107421875,2058.72998,2063.52002,2060.989990234375,1411860000,2060.989990234375
12/28/15,2057.77002,2044.199951171875,2057.77002,2056.5,2492510000,2056.5
12/29/15,2081.560059,2060.540039,2060.540039,2078.360107421875,2542000000,2078.360107421875
12/30/15,2077.340087890625,2061.969970703125,2077.340087890625,2063.360107421875,2367430000,2063.360107421875
